# Corrected LiDAR trajectory after extrinsic calibration
# timestamp x y theta_in_radians
3.780000 1.894171 -0.005120 -0.000077
3.790000 1.896089 -0.001128 -0.000065
3.800000 1.908289 -0.005792 -0.000353
3.810000 1.912366 -0.003468 -0.000255
3.820000 1.914107 0.000740 -0.000163
3.830000 1.913949 -0.008919 -0.000133
3.840000 1.923645 -0.003051 -0.000142
3.850000 1.934730 -0.002027 -0.000344
3.860000 1.933675 -0.001143 -0.000298
3.870000 1.938413 -0.007233 -0.000197
3.880000 1.947154 -0.014144 -0.000020
3.890000 1.949736 -0.004843 -0.000095
3.900000 1.956090 -0.007434 -0.000200
3.910000 1.960303 -0.005226 -0.000102
3.920000 1.959153 -0.005572 0.000041
3.930000 1.972849 -0.000298 -0.000051
3.940000 1.976246 -0.002999 -0.000259
3.950000 1.979141 -0.004301 -0.000192
3.960000 1.984352 -0.009927 -0.000267
3.970000 1.986023 -0.000744 0.000013
3.980000 1.993397 -0.002567 -0.000132
3.990000 1.996216 0.004022 -0.000022
4.000000 2.004013 -0.010470 0.000006
4.010000 2.014875 -0.005067 -0.000306
4.020000 2.014487 -0.007331 -0.000009
4.030000 2.022936 -0.010615 -0.000287
4.040000 2.028199 -0.006037 -0.000270
4.050000 2.031392 -0.005117 -0.000044
4.060000 2.036879 -0.002983 -0.000054
4.070000 2.041750 0.002261 -0.000075
4.080000 2.045968 -0.012672 -0.000170
4.090000 2.050691 -0.001834 -0.000009
4.100000 2.057200 -0.005817 -0.000085
4.110000 2.054980 0.002958 -0.000078
4.120000 2.058097 -0.001216 -0.000019
4.130000 2.074799 -0.003274 -0.000067
4.140000 2.077465 -0.004578 -0.000182
4.150000 2.078049 -0.006319 -0.000311
4.160000 2.083741 -0.004329 -0.000141
4.170000 2.084399 -0.006633 -0.000285
4.180000 2.095095 0.002389 -0.000096
4.190000 2.099866 -0.000100 -0.000175
4.200000 2.107544 -0.013952 -0.000251
4.210000 2.110909 -0.006160 -0.000102
4.220000 2.108312 -0.008328 -0.000116
4.230000 2.120867 -0.006702 -0.000001
4.240000 2.122739 -0.009003 0.000179
4.250000 2.126477 -0.006367 0.000024
4.260000 2.132246 -0.001533 -0.000121
4.270000 2.139959 -0.004253 -0.000027
4.280000 2.137607 -0.007551 -0.000224
4.290000 2.149242 0.002596 -0.000030
4.300000 2.159933 -0.009336 -0.000064
4.310000 2.147655 -0.001725 -0.000016
4.320000 2.164281 0.003977 -0.000062
4.330000 2.174343 -0.000606 -0.000115
4.340000 2.175936 0.002385 -0.000117
4.350000 2.179064 -0.008235 -0.000130
4.360000 2.184239 -0.003611 -0.000089
4.370000 2.197199 -0.004217 -0.000211
4.380000 2.190287 -0.004089 -0.000008
4.390000 2.205707 -0.001437 -0.000198
4.400000 2.211833 -0.000582 -0.000185
4.410000 2.208426 -0.010539 0.000000
4.420000 2.214217 -0.007371 -0.000182
4.430000 2.216664 -0.005665 -0.000084
4.440000 2.229248 0.001823 -0.000194
4.450000 2.231402 -0.013468 -0.000176
4.460000 2.237271 0.003026 -0.000113
4.470000 2.240667 0.005254 -0.000139
4.480000 2.249900 -0.005331 -0.000097
4.490000 2.254822 -0.004418 -0.000228
4.500000 2.252111 -0.010665 -0.000135
4.510000 2.259475 -0.004816 0.000052
4.520000 2.270291 -0.002223 -0.000066
4.530000 2.275951 -0.001214 -0.000209
4.540000 2.276620 -0.000477 0.000053
4.550000 2.284139 -0.006243 -0.000064
4.560000 2.283210 -0.008893 0.000120
4.570000 2.293012 -0.006555 -0.000187
4.580000 2.288079 -0.007864 -0.000226
4.590000 2.306912 -0.003311 -0.000186
4.600000 2.306992 -0.001823 -0.000268
4.610000 2.306290 -0.011570 -0.000055
4.620000 2.315687 -0.002524 -0.000186
4.630000 2.319834 -0.010269 -0.000041
4.640000 2.325050 -0.004194 -0.000085
4.650000 2.333758 -0.003660 0.000004
4.660000 2.333064 -0.011890 -0.000046
4.670000 2.337896 0.002690 -0.000185
4.680000 2.348524 -0.003525 -0.000056
4.690000 2.349994 0.002380 -0.000181
4.700000 2.356527 -0.004165 -0.000016
4.710000 2.359468 -0.008452 -0.000094
4.720000 2.359033 -0.002756 -0.000055
4.730000 2.367462 -0.000834 -0.000161
4.740000 2.369381 -0.001968 -0.000142
4.750000 2.369851 -0.006874 -0.000053
4.760000 2.389795 -0.006888 -0.000217
4.770000 2.394469 -0.007498 -0.000104
4.780000 2.396568 -0.006814 -0.000122
4.790000 2.399735 -0.009344 -0.000069
4.800000 2.402591 -0.002379 -0.000242
4.810000 2.405776 -0.006006 -0.000097
4.820000 2.410032 -0.010835 -0.000134
4.830000 2.422268 -0.001237 -0.000139
4.840000 2.428811 -0.007450 -0.000144
4.850000 2.426361 -0.005397 -0.000098
4.860000 2.441488 -0.008320 -0.000047
4.870000 2.440170 -0.004870 -0.000065
4.880000 2.444494 -0.007699 -0.000172
4.890000 2.448565 -0.010425 -0.000189
4.900000 2.450072 0.004858 -0.000147
4.910000 2.462078 0.004412 0.000076
4.920000 2.467665 0.001080 -0.000103
4.930000 2.472846 -0.009632 -0.000066
4.940000 2.471646 -0.002490 -0.000051
4.950000 2.471352 -0.000717 -0.000044
4.960000 2.484489 -0.004272 -0.000174
4.970000 2.487955 -0.005274 -0.000118
4.980000 2.492966 -0.000336 -0.000016
4.990000 2.496814 -0.009873 -0.000139
5.000000 2.506881 -0.005658 0.000015
5.010000 2.506185 -0.008667 -0.000211
5.020000 2.512667 -0.004955 -0.000135
5.030000 2.514456 -0.004679 -0.000173
5.040000 2.527869 -0.006330 -0.000116
5.050000 2.530314 0.004795 -0.000153
5.060000 2.536606 -0.001457 -0.000144
5.070000 2.536121 -0.000040 -0.000074
5.080000 2.535161 -0.002631 -0.000137
5.090000 2.553855 -0.009973 -0.000269
5.100000 2.548872 -0.008821 -0.000205
5.110000 2.560685 -0.005270 -0.000104
5.120000 2.560828 -0.008810 -0.000131
5.130000 2.571143 -0.009966 -0.000248
5.140000 2.568982 -0.007585 -0.000302
5.150000 2.577052 0.004683 -0.000166
5.160000 2.584250 -0.009268 -0.000136
5.170000 2.585221 -0.001502 -0.000215
5.180000 2.589598 -0.004498 -0.000100
5.190000 2.597684 -0.007641 -0.000220
5.200000 2.606622 -0.004879 -0.000178
5.210000 2.609401 -0.007867 -0.000149
5.220000 2.603792 -0.004509 -0.000116
5.230000 2.613910 -0.002637 0.000045
5.240000 2.627911 -0.006638 -0.000027
5.250000 2.629760 0.000773 -0.000150
5.260000 2.633176 -0.004191 -0.000253
5.270000 2.642543 0.004753 -0.000176
5.280000 2.636534 -0.002692 -0.000081
5.290000 2.643943 0.000252 -0.000217
5.300000 2.654728 -0.002949 0.000071
5.310000 2.665996 -0.004107 0.000022
5.320000 2.659061 -0.001076 -0.000105
5.330000 2.668102 -0.001075 -0.000203
5.340000 2.678067 0.000803 -0.000019
5.350000 2.681515 -0.006478 -0.000059
5.360000 2.686078 -0.007994 -0.000367
5.370000 2.682095 0.001470 -0.000144
5.380000 2.693447 0.000745 -0.000008
5.390000 2.704032 0.002856 -0.000142
5.400000 2.700005 -0.006692 -0.000176
5.410000 2.704458 -0.001020 -0.000048
5.420000 2.714671 -0.006798 -0.000111
5.430000 2.716220 -0.005642 -0.000078
5.440000 2.725285 -0.012530 -0.000258
5.450000 2.729833 -0.012689 0.000009
5.460000 2.724635 -0.003313 -0.000193
5.470000 2.743050 0.004333 -0.000119
5.480000 2.744730 0.000989 -0.000131
5.490000 2.756056 -0.003260 -0.000140
5.500000 2.752380 -0.002753 -0.000249
5.510000 2.758053 -0.004366 -0.000155
5.520000 2.755110 0.001951 -0.000259
5.530000 2.775086 -0.010617 -0.000143
5.540000 2.773722 -0.006418 0.000033
5.550000 2.778008 0.001254 -0.000127
5.560000 2.781417 -0.012025 -0.000010
5.570000 2.786430 -0.003165 -0.000240
5.580000 2.796241 -0.010952 -0.000234
5.590000 2.804910 -0.009745 -0.000133
5.600000 2.803007 -0.008556 -0.000197
5.610000 2.809920 -0.005241 -0.000130
5.620000 2.811162 -0.009766 -0.000038
5.630000 2.818927 -0.003019 -0.000137
5.640000 2.822499 -0.002871 0.000071
5.650000 2.826163 -0.001241 -0.000191
5.660000 2.836652 -0.007658 -0.000128
5.670000 2.832517 -0.005105 -0.000126
5.680000 2.846001 -0.005189 -0.000306
5.690000 2.852554 -0.004447 -0.000183
5.700000 2.852475 -0.008598 -0.000024
5.710000 2.857451 -0.001740 0.000013
5.720000 2.864856 -0.001500 -0.000030
5.730000 2.866927 0.002499 -0.000071
5.740000 2.870285 -0.008424 -0.000200
5.750000 2.883593 -0.006909 0.000027
5.760000 2.883772 -0.006533 -0.000133
5.770000 2.882570 -0.009859 -0.000085
5.780000 2.889683 -0.013429 -0.000152
5.790000 2.891720 -0.001990 -0.000165
5.800000 2.905130 -0.004677 -0.000184
5.810000 2.904947 -0.004837 -0.000191
5.820000 2.917398 -0.006605 -0.000051
5.830000 2.925744 0.000326 -0.000063
5.840000 2.928043 -0.001944 -0.000066
5.850000 2.929845 0.001131 -0.000067
5.860000 2.938877 0.003154 -0.000257
5.870000 2.937686 -0.011575 -0.000166
5.880000 2.941323 -0.006897 -0.000157
5.890000 2.948876 -0.004898 -0.000247
5.900000 2.954309 -0.005637 -0.000118
5.910000 2.954138 -0.009921 -0.000405
5.920000 2.969959 0.000343 -0.000123
5.930000 2.979634 -0.010006 -0.000286
5.940000 2.978775 -0.003594 -0.000138
5.950000 2.980465 -0.007600 -0.000131
5.960000 2.982779 -0.008734 -0.000167
5.970000 2.990933 -0.002964 -0.000210
5.980000 2.999236 -0.004810 -0.000167
5.990000 3.005241 -0.004013 -0.000188
6.000000 3.009223 -0.004578 -0.000130
6.010000 3.001320 -0.002356 -0.000066
6.020000 3.013853 -0.006488 -0.000191
6.030000 3.019418 -0.009382 -0.000164
6.040000 3.023951 -0.001867 -0.000132
6.050000 3.023503 -0.002216 -0.000122
6.060000 3.027870 0.001569 -0.000250
6.070000 3.047072 -0.003412 -0.000127
6.080000 3.047390 -0.006903 -0.000146
6.090000 3.047037 -0.001883 -0.000070
6.100000 3.062680 -0.007606 -0.000308
6.110000 3.060546 0.006734 -0.000008
6.120000 3.064946 -0.006598 -0.000107
6.130000 3.082452 -0.004245 -0.000120
6.140000 3.075161 0.000169 -0.000037
6.150000 3.082527 -0.006343 -0.000207
6.160000 3.081376 -0.003894 -0.000235
6.170000 3.092981 -0.004549 -0.000044
6.180000 3.098572 -0.003746 -0.000147
6.190000 3.102079 0.001274 -0.000213
6.200000 3.105108 -0.011019 -0.000094
6.210000 3.108955 0.006661 -0.000389
6.220000 3.113294 -0.009027 -0.000208
6.230000 3.116141 -0.003172 -0.000168
6.240000 3.125316 -0.004165 -0.000042
6.250000 3.130963 -0.003722 -0.000048
6.260000 3.129577 -0.011251 -0.000003
6.270000 3.138510 -0.001763 -0.000068
6.280000 3.146079 -0.007154 -0.000090
6.290000 3.148408 -0.001789 -0.000269
6.300000 3.153214 -0.000549 -0.000261
6.310000 3.161192 -0.002188 -0.000056
6.320000 3.168176 0.000941 -0.000089
6.330000 3.174706 -0.009190 -0.000114
6.340000 3.171627 -0.000978 -0.000211
6.350000 3.179349 -0.006113 -0.000397
6.360000 3.186019 -0.002486 -0.000298
6.370000 3.186624 -0.003129 -0.000227
6.380000 3.188617 0.001750 -0.000241
6.390000 3.195332 -0.009150 0.000123
6.400000 3.208066 -0.002523 -0.000290
6.410000 3.210084 -0.000730 -0.000144
6.420000 3.212475 -0.002843 -0.000114
6.430000 3.215867 -0.005358 -0.000145
6.440000 3.217522 0.000669 -0.000149
6.450000 3.238873 0.003373 -0.000121
